Date,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Day 8,Day 9,Day 10
1996-08-06,0.00,0.98,2.39,2.67,2.11,1.97,2.25,3.09,4.08,3.94
1996-08-26,0.00,-0.40,-1.34,-9.08,-10.28,-10.55,-12.42,-10.68,-9.35,-10.01
1996-12-06,0.00,-0.89,-2.29,-5.59,-5.08,-6.23,-3.18,-4.32,0.13,0.51
1996-12-17,0.00,4.65,5.05,4.65,4.25,5.05,5.58,7.44,3.85,3.45
1997-02-24,0.00,-0.10,-1.21,-51.61,-50.30,-49.80,-50.10,-50.00,-48.89,-47.58
1997-03-03,0.00,-0.60,-0.40,1.81,4.42,2.41,0.80,-4.02,-5.42,-5.22
1997-05-30,0.00,2.13,1.71,5.33,7.89,8.96,10.66,12.15,13.43,14.93
1998-01-07,0.00,-3.87,-5.40,-5.40,-0.92,-2.04,0.10,2.34,-0.81,-2.75
1998-03-03,0.00,-1.72,0.00,-0.54,1.27,1.63,1.90,0.18,1.00,2.17
1998-06-04,0.00,1.15,1.47,2.29,2.29,1.23,-1.23,-1.97,-0.74,0.33
1998-06-24,0.00,1.05,1.45,-0.89,3.31,6.30,8.16,8.89,12.44,11.15
1998-07-10,0.00,1.08,-1.15,-2.30,-1.51,-2.80,-5.03,-3.74,-4.24,-5.46
1998-10-15,0.00,6.55,12.97,9.70,15.11,13.35,14.11,8.69,10.58,15.11
1998-10-22,0.00,0.67,-4.11,-2.44,1.56,2.22,4.00,3.33,7.33,11.56
1999-03-18,0.00,1.40,-3.50,-4.72,-2.27,-2.27,-0.17,-0.70,-1.22,-3.50
1999-04-16,0.00,2.26,2.09,3.48,3.14,0.35,3.83,2.61,1.74,-0.26
1999-07-08,0.00,0.17,-0.92,-0.76,0.25,1.34,-0.67,-3.69,-6.96,-6.88
1999-12-21,0.00,1.80,1.03,1.68,2.84,4.51,3.48,-0.13,-6.06,-5.03
2000-02-22,0.00,-2.05,-3.55,0.41,0.55,-0.41,-1.50,-1.64,-2.73,-3.83
2000-04-24,0.00,-3.16,-4.09,-8.30,-6.43,-7.13,-8.30,-10.18,-10.99,-9.82
2000-05-12,0.00,-1.85,-2.59,-0.62,-1.73,-0.74,3.83,10.49,9.26,7.90
2000-05-31,0.00,7.37,4.29,-0.11,1.76,-0.11,-1.43,-0.61,-1.98,-2.64
2000-06-07,0.00,-1.32,-0.50,-1.87,-2.53,-8.48,-15.42,-14.76,-14.54,-16.08
2000-08-03,0.00,-0.24,-1.07,1.07,1.79,2.98,4.76,3.45,1.90,2.02
2000-08-09,0.00,1.17,2.92,1.64,0.12,0.23,0.58,0.82,1.87,1.17
2000-11-28,0.00,-1.84,-2.30,-4.15,1.23,-6.61,-4.15,0.46,6.76,6.76
2000-12-05,0.00,2.63,7.57,14.31,14.31,12.99,11.35,10.03,14.47,16.45
2001-01-10,0.00,-0.76,3.03,0.25,-1.01,-0.51,1.90,1.90,3.29,4.17
2001-01-16,0.00,-1.26,-0.76,1.64,1.64,3.03,3.91,7.31,8.99,11.92
2001-03-19,0.00,-0.66,-3.16,2.91,2.36,6.22,6.10,3.65,6.75,5.30
2001-03-27,0.00,-2.32,0.61,-0.75,-3.99,-7.55,-4.72,-8.88,-7.02,-4.59
2001-12-19,0.00,-2.38,-2.06,-1.17,-0.24,0.68,-0.24,-0.22,-0.33,1.22
2002-04-23,0.00,-0.92,0.39,-0.32,1.37,1.03,2.87,3.05,1.36,2.04
2002-05-09,0.00,1.56,2.75,2.80,3.20,4.13,2.64,1.54,2.14,3.79
2002-05-29,0.00,-0.14,-1.94,-2.00,-3.57,-8.13,-6.52,-6.31,-6.86,-6.28
2002-09-23,0.00,2.42,6.32,3.35,2.90,6.69,3.53,-3.55,-6.45,-10.32
2003-01-31,0.00,-1.98,-2.18,-2.30,-2.98,-2.60,-3.28,-4.04,-3.47,-1.66
