Date,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Day 8,Day 9,Day 10
1993-06-15,0.00,2.37,2.96,6.21,2.07,4.14,1.18,5.33,5.03,7.69
1993-07-15,0.00,6.82,2.27,4.55,3.64,4.55,2.27,3.64,2.27,0.91
1993-09-01,0.00,0.00,-1.94,-3.88,-0.97,-1.94,1.94,5.83,4.85,3.88
1993-09-09,0.00,3.81,7.62,6.67,5.71,3.81,5.24,6.67,2.86,5.71
1993-09-13,0.00,-1.03,-2.06,-4.12,-2.58,-1.03,-5.15,-2.06,-3.09,-2.06
1993-09-27,0.00,3.54,5.56,8.08,8.08,5.05,4.55,7.07,8.59,4.04
1993-12-03,0.00,0.00,1.16,6.98,12.40,8.53,9.69,7.75,8.91,8.53
1994-11-30,0.00,-1.04,-2.76,-3.80,-1.21,0.86,-0.17,-0.86,-0.52,-4.66
1995-01-20,0.00,1.48,3.00,6.51,5.62,5.03,4.44,5.03,1.48,4.14
1995-02-23,0.00,1.92,-1.28,-2.56,-2.56,-3.21,-1.92,1.76,-1.44,-1.92
1995-04-04,0.00,-5.76,-5.76,-5.40,-8.63,-12.23,-10.07,-10.43,-7.91,-4.68
1995-06-13,0.00,0.00,-0.57,-1.72,-8.60,-13.18,-12.61,-11.75,-10.32,-6.30
1995-09-11,0.00,1.31,6.84,16.45,14.56,14.41,14.70,13.83,13.68,12.63
1995-10-06,0.00,0.36,-0.18,-1.44,-3.41,-3.77,-5.21,-7.36,0.18,-0.90
1995-11-29,0.00,1.31,-3.61,-3.61,-1.64,-1.15,-3.28,-1.31,0.33,-0.66
1996-03-06,0.00,-0.73,-0.24,0.00,0.24,0.73,-0.24,-1.21,0.24,2.18
1996-03-19,0.00,0.50,-0.50,4.95,5.45,0.00,4.21,2.72,-0.99,0.99
1996-03-25,0.00,-5.76,-1.31,-2.88,-6.81,-4.71,-2.88,-1.05,-2.09,-8.90
1996-04-17,0.00,-1.26,-1.52,0.00,2.02,-0.51,0.00,0.00,1.52,1.52
1996-05-21,0.00,-0.72,-2.64,-1.20,4.56,2.16,-0.24,5.04,7.19,3.60
1996-06-20,0.00,1.66,8.84,12.15,8.84,7.18,4.97,7.18,14.36,13.81
1996-07-08,0.00,1.32,5.92,4.93,9.54,11.18,11.18,-9.87,-9.21,-6.58
1996-07-30,0.00,3.41,1.70,4.55,2.27,-1.70,-0.57,-5.11,-4.55,-2.27
1996-08-01,0.00,2.89,0.58,-3.47,-2.31,-6.94,-6.36,-4.05,-5.20,-2.89
1996-11-15,0.00,-0.51,-1.01,1.01,-2.02,-1.01,2.02,1.01,2.53,-1.52
1996-11-29,0.00,0.00,0.50,0.50,0.00,0.50,2.49,4.48,4.98,7.46
1997-02-03,0.00,0.81,-4.07,-2.85,-1.63,-2.03,-2.44,-4.88,-6.10,-16.26
1997-03-06,0.00,-0.76,0.76,1.52,0.76,-0.38,0.00,1.52,2.27,-4.55
1997-03-25,0.00,-11.19,-8.96,-4.48,-7.46,-12.69,-14.93,-16.42,-14.18,-13.43
1997-05-05,0.00,2.22,-0.74,-1.11,-4.07,-4.07,-4.81,-5.19,-2.22,-0.74
1997-05-06,0.00,-3.03,-3.41,-6.44,-6.44,-7.20,-7.58,-4.55,-3.03,-4.55
1997-07-23,0.00,-2.77,-3.95,-4.35,-9.88,-10.67,-21.34,-24.90,-24.90,-66.40
1997-10-06,0.00,1.43,0.29,-4.01,-4.01,-4.01,-9.17,1.43,7.74,14.33
1997-11-10,0.00,4.08,2.04,-0.34,-0.68,1.70,0.68,-0.68,1.02,4.08
1997-11-21,0.00,1.42,0.71,-0.71,-0.71,9.93,10.64,11.35,10.28,11.70
1997-12-17,0.00,0.90,3.62,6.33,4.98,3.62,4.98,4.52,4.98,-17.65
1997-12-22,0.00,-1.45,-2.90,-1.45,-1.93,-1.45,-25.60,-22.71,-46.38,-35.27
1998-07-31,0.00,2.67,-2.49,-4.98,-3.91,-8.01,-11.03,-14.06,-12.28,-15.30
1998-08-19,0.00,-5.85,-1.38,-0.46,0.62,7.69,15.85,23.23,16.00,12.46
1998-10-27,0.00,1.02,-0.85,-2.21,-2.72,-5.09,-3.74,-3.40,0.51,4.58
1998-12-08,0.00,0.00,-5.47,-1.56,-4.88,-2.54,-4.49,-9.96,-9.57,-18.75
1999-01-06,0.00,0.00,-1.94,-2.50,-3.33,8.06,8.19,9.17,9.86,13.75
1999-03-17,0.00,5.63,1.23,7.04,5.11,4.75,6.34,0.35,-1.06,-1.23
1999-03-19,0.00,5.88,3.92,3.57,5.17,-0.89,-2.32,-2.50,-2.85,-5.70
1999-06-11,0.00,-1.38,-5.50,-2.06,-3.71,-2.34,0.14,3.85,6.88,7.15
1999-08-30,0.00,-5.17,-8.14,-12.64,-17.05,-14.18,-15.80,-18.68,-14.94,-19.25
1999-12-27,0.00,-2.55,-2.16,-4.71,-14.00,-4.39,-5.92,3.25,-1.34,0.45
2000-02-11,0.00,-2.75,1.46,0.81,3.94,1.73,-0.38,0.53,4.70,2.21
