Date,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Day 8,Day 9,Day 10
1988-11-23,0.00,0.00,0.68,3.08,6.16,7.53,8.22,8.22,7.88,7.19
1988-11-29,0.00,2.99,4.32,4.98,4.98,4.65,3.99,3.99,2.33,2.99
1988-12-16,0.00,0.61,2.45,0.61,0.92,-0.61,-1.23,-0.61,-1.23,-0.92
1989-01-26,0.00,-0.66,0.33,4.32,5.65,4.32,2.33,3.65,1.66,1.66
1989-03-16,0.00,0.00,0.00,-2.87,-1.43,-3.23,-2.51,-1.79,-0.36,2.15
1989-03-29,0.00,2.52,0.72,-0.72,0.72,3.60,7.55,6.47,8.63,10.79
1989-04-17,0.00,1.87,1.56,0.00,0.00,-0.31,-0.93,-1.87,-2.80,-2.80
1989-05-19,0.00,-1.09,3.80,4.89,5.43,3.26,3.80,5.98,6.52,2.17
1989-05-24,0.00,0.52,-1.55,-1.04,1.04,1.55,-2.59,-3.11,0.00,-1.30
1989-06-12,0.00,2.32,-2.06,-8.25,-9.28,-11.34,-12.37,-10.82,-9.54,-10.31
1989-06-22,0.00,-0.85,-2.85,-4.84,-7.41,-5.98,-7.12,-7.69,-5.98,-5.98
1989-06-30,0.00,-0.61,1.23,1.23,-0.61,-2.45,-1.84,-0.31,0.00,0.00
1989-07-17,0.00,3.18,1.91,1.91,0.00,-1.27,-2.55,0.00,0.32,1.27
1990-01-24,0.00,-4.03,-2.56,-0.37,-0.37,-1.47,0.37,2.56,1.83,-2.56
1990-02-13,0.00,0.00,-1.46,-2.19,-0.73,-3.65,-2.92,-0.73,-2.19,-0.73
1990-02-21,0.00,0.76,3.03,1.52,3.03,3.79,2.27,4.55,6.82,7.20
1990-04-09,0.00,3.03,4.85,6.06,4.85,4.85,-2.42,-2.42,-3.64,-6.06
1990-04-18,0.00,0.00,-1.24,-3.73,-3.73,-3.42,-2.80,-2.17,-1.55,-1.24
1990-06-19,0.00,4.69,3.75,3.12,1.56,3.75,7.50,11.87,10.00,10.00
1990-07-06,0.00,0.80,0.80,1.61,0.27,-2.14,-5.09,-4.29,-10.46,-12.06
1990-08-13,0.00,-1.26,-3.14,-8.18,-7.55,-8.81,-11.64,-13.21,-10.69,-5.03
1990-10-30,0.00,-0.81,3.25,8.13,8.94,8.13,12.20,15.45,17.89,17.07
1990-11-14,0.00,-2.43,1.04,-1.39,0.35,1.04,2.08,4.17,2.08,2.08
1991-01-02,0.00,0.58,0.58,0.58,5.23,9.59,9.30,7.56,8.72,15.70
1991-02-05,0.00,1.54,5.27,7.91,5.49,5.49,0.44,1.32,5.49,7.25
1991-04-22,0.00,-1.22,-4.88,-4.67,-5.28,-10.57,-23.17,-20.33,-20.33,-18.29
1991-05-06,0.00,-1.73,0.25,1.23,4.20,5.68,-0.25,-3.21,-7.16,-12.59
1991-07-03,0.00,2.47,2.74,3.56,2.47,2.47,-0.27,-4.11,-6.85,-1.64
1991-09-06,0.00,-5.87,-5.16,-4.93,-8.69,-11.27,-7.98,-5.87,-6.57,-4.93
1991-09-20,0.00,1.52,2.02,1.01,-1.01,0.00,2.53,0.51,-3.54,-2.53
1991-10-29,0.00,3.52,2.51,0.00,-2.01,-3.52,0.00,7.04,8.04,9.55
1991-12-18,0.00,-0.99,1.48,2.96,8.13,8.37,11.82,11.08,17.24,16.26
1992-01-02,0.00,-1.69,0.21,2.54,5.51,5.51,5.08,9.32,7.63,6.36
1992-01-07,0.00,2.89,2.89,2.48,6.61,4.96,3.72,7.02,5.79,1.03
